ID,Word List,Category,English,Male' - Latin,Male' - Thaana,Addu - Latin,Addu - Thaana,Huvadhu - Latin,Huvadhu - Thaana,Fuvahmulah - Latin,Fuvahmulah - Thaana,Sinhala,Malayalam,Arabic,Notes
SW100-054,Swadesh 100,Natural Objects & Phenomena,moon,Handhu,ހަނދު,Handho,ހަނދޮ,Handha,ހަނދަ,,,Ha,,Qamara,
SW100-055,Swadesh 100,Natural Objects & Phenomena,mountain,Farubadha,ފަރުބަދަ,Farubadha,ފަރުބަދަ,Farubadha,ފަރުބަދަ,,,Kanda / Giri,Mala / Parvvataṃ,Jabala,
SW100-056,Swadesh 100,Body Parts & Substances,mouth,Anga,އަނގަ,Anga,އަނގަ,Anga,އަނގަ,,,Kaṭa,Vāya,Fama,
SW100-057,Swadesh 100,Miscellaneous,name,Nan,ނަން,Nan,ނަން,Nan,ނަން,,,Nama,Per / Nāmaṃ,Aisma,
SW100-058,Swadesh 100,Body Parts & Substances,neck,Karu,ކަރު,Karo,ކަރޮ,Kara,ކަރަ,,,Bèlla,Kal̤utt,Raqabaha,
SW100-059,Swadesh 100,Descriptives,new,Aa / Au,އާ / އައު,Aa / Ao,އާ / އައޮ,Aa,އާ / އައަ,,,Alut,Putiya,,
SW100-060,Swadesh 100,Time Periods,night,Reygandu,ރޭގަނޑު,Reygando,ރޭގަނޑޮ,Reyganda,ރޭގަނޑަ,,,Ra,Rātri / Rāv,Laila,
SW100-061,Swadesh 100,Body Parts & Substances,nose,Neyfath,ނޭފަތް,Neyfath,ނޭފަތް,Neyfath,ނޭފަތް,,,Nahaya,Mūkk,Anfa,
SW100-062,Swadesh 100,Miscellaneous,not,Noon,ނޫން,Noon,ނޫން,Noon,ނޫން,,,Naha / Nò-,Alla / Illa,,
SW100-063,Swadesh 100,Numerals,one,Eke,އެކެއް,Eke,އެކެއް,Eke,އެކެއް,,,Èka,Ònn,,
SW100-064,Swadesh 100,Persons,person (human being),Meehaa,މީހާ,Meehaa,މީހާ,Meehaa,މީހާ,,,Minihā,,Insāna,
SW100-065,Swadesh 100,Natural Objects & Phenomena,rain,Vaarey,ވާރޭ,Vaarey,ވާރޭ,Vaarey,ވާރޭ,,,Vassa,Mal̤a / Varṣaṃ / Māri,Maẗaara,
SW100-066,Swadesh 100,Colors,red,Rath,ރަތް,Rath,ރަތް,Rath,ރަތް,,,Ratu,,,
SW100-067,Swadesh 100,Miscellaneous,road (path),Magu,މަގު,Magu,މަގު,Magu,މަގު,,,Pāra / Ma,Ṟoḍ / Val̤i / Pāta,T̈aarīqa,
SW100-068,Swadesh 100,Plants & Plant Parts,root,Moo,މޫ,Moo,މޫ,Moo,މޫ,,,Mula,Ver,,
SW100-069,Swadesh 100,Descriptives,round,Vash,ވަށް,Vash,ވަށް,Vash,ވަށް,,,Vaṭaya,Vaṭṭaṃ,Mustadīra,
SW100-070,Swadesh 100,Natural Objects & Phenomena,sand,Veli,ވެލި,Veli,ވެލި,Veli,ވެލި,,,Vali,Maṇal / Maṇṇ,Ramla,
