ID,Word List,Category,English,Male'_Word,Male_vs_Addu_Best_Pair,Male_vs_Addu_Raw_Dist,Male_vs_Addu_Norm_Dist,Male_vs_Addu_Sim_Pct,Male_vs_Huvadhu_Best_Pair,Male_vs_Huvadhu_Raw_Dist,Male_vs_Huvadhu_Norm_Dist,Male_vs_Huvadhu_Sim_Pct,Male_vs_Fuvahmulah_Best_Pair,Male_vs_Fuvahmulah_Raw_Dist,Male_vs_Fuvahmulah_Norm_Dist,Male_vs_Fuvahmulah_Sim_Pct,Male_vs_Maliku_Best_Pair,Male_vs_Maliku_Raw_Dist,Male_vs_Maliku_Norm_Dist,Male_vs_Maliku_Sim_Pct,Male_vs_Sinhala_Best_Pair,Male_vs_Sinhala_Raw_Dist,Male_vs_Sinhala_Norm_Dist,Male_vs_Sinhala_Sim_Pct,Male_vs_Malayalam_Best_Pair,Male_vs_Malayalam_Raw_Dist,Male_vs_Malayalam_Norm_Dist,Male_vs_Malayalam_Sim_Pct,Male_vs_Arabic_Best_Pair,Male_vs_Arabic_Raw_Dist,Male_vs_Arabic_Norm_Dist,Male_vs_Arabic_Sim_Pct,Male_Closest_Dhivehi_Dialect,Male_Closest_Dhivehi_Sim_Pct,Male_Closest_Dhivehi_Raw_Dist,Male_Closest_Foreign_Lang,Male_Closest_Foreign_Sim_Pct,Male_Closest_Foreign_Raw_Dist,Male_Is_Dhivehi_Dialect_Closer,Addu_vs_Huvadhu_Best_Pair,Addu_vs_Huvadhu_Raw_Dist,Addu_vs_Huvadhu_Norm_Dist,Addu_vs_Huvadhu_Sim_Pct,Addu_vs_Fuvahmulah_Best_Pair,Addu_vs_Fuvahmulah_Raw_Dist,Addu_vs_Fuvahmulah_Norm_Dist,Addu_vs_Fuvahmulah_Sim_Pct,Addu_vs_Maliku_Best_Pair,Addu_vs_Maliku_Raw_Dist,Addu_vs_Maliku_Norm_Dist,Addu_vs_Maliku_Sim_Pct,Huvadhu_vs_Fuvahmulah_Best_Pair,Huvadhu_vs_Fuvahmulah_Raw_Dist,Huvadhu_vs_Fuvahmulah_Norm_Dist,Huvadhu_vs_Fuvahmulah_Sim_Pct,Huvadhu_vs_Maliku_Best_Pair,Huvadhu_vs_Maliku_Raw_Dist,Huvadhu_vs_Maliku_Norm_Dist,Huvadhu_vs_Maliku_Sim_Pct,Fuvahmulah_vs_Maliku_Best_Pair,Fuvahmulah_vs_Maliku_Raw_Dist,Fuvahmulah_vs_Maliku_Norm_Dist,Fuvahmulah_vs_Maliku_Sim_Pct,Overall_Closest_Dhivehi_Pair,Overall_Closest_Dhivehi_Sim_Pct,Overall_Closest_Dhivehi_Words
SW100-011,Swadesh 100,Body Parts & Substances,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW100-012,Swadesh 100,Miscellaneous,burn,Endhun,Endhun ~ Endhun,0,0.0,100.0,Endhun ~ Edhaa,3,0.5,50.0,,,,,,,,,Endhun ~ Puccanavā,8,0.8889,11.11,Endhun ~ Kattikkuka,9,0.9,10.0,Endhun ~ Ḧaraqa,7,1.0,0.0,Addu,100.0,0,Sinhala,11.11,8,Yes (Dialect closer),Endhun ~ Edhaa,3,0.5,50.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Endhun ~ Endhun
SW100-013,Swadesh 100,Body Parts & Substances,claw,Niyafai,Niyafai ~ Niyafah,1,0.1429,85.71,,,,,,,,,,,,,Niyafai ~ Niyapòtu,4,0.5,50.0,Niyafai ~ Nakhaṃ,5,0.7143,28.57,Niyafai ~ Jḧufra,6,0.8571,14.29,Addu,85.71,1,Sinhala,50.0,4,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,85.71,Niyafai ~ Niyafah
SW100-014,Swadesh 100,Natural Objects & Phenomena,cloud,Vilaa,Vilaa ~ Kolhi,4,0.8,20.0,Vilaa ~ Velaa,1,0.2,80.0,,,,,,,,,Vilaa ~ Valākuḻa,5,0.625,37.5,Vilaa ~ Meghaṃ,5,0.8333,16.67,,,,,Huvadhu,80.0,1,Sinhala,37.5,5,Yes (Dialect closer),Kolhi ~ Velaa,4,0.8,20.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,80.0,Vilaa ~ Velaa
SW100-015,Swadesh 100,Descriptives,cold,Fini,Fini ~ Fini,0,0.0,100.0,Fini ~ Fini,0,0.0,100.0,,,,,,,,,Fini ~ Sītala,6,1.0,0.0,Fini ~ Taṇupp,6,1.0,0.0,Fini ~ Bārida,5,0.8333,16.67,Addu/Huvadhu,100.0,0,Arabic,16.67,5,Yes (Dialect closer),Fini ~ Fini,0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu / Male' ⟷ Huvadhu / Addu ⟷ Huvadhu,100.0,Fini ~ Fini / Fini ~ Fini / Fini ~ Fini
SW100-016,Swadesh 100,Position & Movement,come,Aun/Aadhey,Aadhey ~ Aassele,4,0.5714,42.86,Aun ~ Ahafen,4,0.6667,33.33,,,,,,,,,Aun ~ Ènavā,4,0.8,20.0,Aun ~ Varuka,4,0.6667,33.33,,,,,Addu,42.86,4,Malayalam,33.33,4,Yes (Dialect closer),Aassele ~ Ahafele,3,0.4286,57.14,,,,,,,,,,,,,,,,,,,,,Addu ⟷ Huvadhu,57.14,Aassele ~ Ahafele
SW100-017,Swadesh 100,Body Sensations & Activities,die,Maruvun,Maruvun ~ Maravun,1,0.1429,85.71,Maruvun ~ Maravege,4,0.5,50.0,,,,,,,,,Maruvun ~ Marènavā,5,0.625,37.5,Maruvun ~ Marikkuka,5,0.5556,44.44,Maruvun ~ Māta,6,0.8571,14.29,Addu,85.71,1,Malayalam,44.44,5,Yes (Dialect closer),Maravun ~ Maravege,3,0.375,62.5,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,85.71,Maruvun ~ Maravun
SW100-018,Swadesh 100,Animals,dog,Balhu/Kuthaa,Balhu ~ Balha,1,0.2,80.0,,,,,,,,,,,,,Balhu ~ Ballā,2,0.4,60.0,Balhu ~ Paṭṭi,4,0.8,20.0,Balhu ~ Kalba,3,0.6,40.0,Addu,80.0,1,Sinhala,60.0,2,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,80.0,Balhu ~ Balha
SW100-019,Swadesh 100,Body Sensations & Activities,drink,Buin,Buin ~ Boa ey,5,0.8333,16.67,,,,,,,,,,,,,Buin ~ Bònavā,5,0.8333,16.67,Buin ~ Kuṭikkuka,7,0.7778,22.22,Buin ~ Śariba,5,0.8333,16.67,Addu,16.67,5,Malayalam,22.22,7,No (Foreign closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,16.67,Buin ~ Boa ey
SW100-020,Swadesh 100,Descriptives,dry,Hiki,Hiki ~ Hiki,0,0.0,100.0,,,,,,,,,,,,,Hiki ~ Viyaḻi,4,0.6667,33.33,Hiki ~ Uṇaṅṅiya,7,0.875,12.5,,,,,Addu,100.0,0,Sinhala,33.33,4,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Hiki ~ Hiki
