ID,Word List,Category,English,Male'_Word,Male_vs_Addu_Best_Pair,Male_vs_Addu_Raw_Dist,Male_vs_Addu_Norm_Dist,Male_vs_Addu_Sim_Pct,Male_vs_Huvadhu_Best_Pair,Male_vs_Huvadhu_Raw_Dist,Male_vs_Huvadhu_Norm_Dist,Male_vs_Huvadhu_Sim_Pct,Male_vs_Fuvahmulah_Best_Pair,Male_vs_Fuvahmulah_Raw_Dist,Male_vs_Fuvahmulah_Norm_Dist,Male_vs_Fuvahmulah_Sim_Pct,Male_vs_Maliku_Best_Pair,Male_vs_Maliku_Raw_Dist,Male_vs_Maliku_Norm_Dist,Male_vs_Maliku_Sim_Pct,Male_vs_Sinhala_Best_Pair,Male_vs_Sinhala_Raw_Dist,Male_vs_Sinhala_Norm_Dist,Male_vs_Sinhala_Sim_Pct,Male_vs_Malayalam_Best_Pair,Male_vs_Malayalam_Raw_Dist,Male_vs_Malayalam_Norm_Dist,Male_vs_Malayalam_Sim_Pct,Male_vs_Arabic_Best_Pair,Male_vs_Arabic_Raw_Dist,Male_vs_Arabic_Norm_Dist,Male_vs_Arabic_Sim_Pct,Male_Closest_Dhivehi_Dialect,Male_Closest_Dhivehi_Sim_Pct,Male_Closest_Dhivehi_Raw_Dist,Male_Closest_Foreign_Lang,Male_Closest_Foreign_Sim_Pct,Male_Closest_Foreign_Raw_Dist,Male_Is_Dhivehi_Dialect_Closer,Addu_vs_Huvadhu_Best_Pair,Addu_vs_Huvadhu_Raw_Dist,Addu_vs_Huvadhu_Norm_Dist,Addu_vs_Huvadhu_Sim_Pct,Addu_vs_Fuvahmulah_Best_Pair,Addu_vs_Fuvahmulah_Raw_Dist,Addu_vs_Fuvahmulah_Norm_Dist,Addu_vs_Fuvahmulah_Sim_Pct,Addu_vs_Maliku_Best_Pair,Addu_vs_Maliku_Raw_Dist,Addu_vs_Maliku_Norm_Dist,Addu_vs_Maliku_Sim_Pct,Huvadhu_vs_Fuvahmulah_Best_Pair,Huvadhu_vs_Fuvahmulah_Raw_Dist,Huvadhu_vs_Fuvahmulah_Norm_Dist,Huvadhu_vs_Fuvahmulah_Sim_Pct,Huvadhu_vs_Maliku_Best_Pair,Huvadhu_vs_Maliku_Raw_Dist,Huvadhu_vs_Maliku_Norm_Dist,Huvadhu_vs_Maliku_Sim_Pct,Fuvahmulah_vs_Maliku_Best_Pair,Fuvahmulah_vs_Maliku_Raw_Dist,Fuvahmulah_vs_Maliku_Norm_Dist,Fuvahmulah_vs_Maliku_Sim_Pct,Overall_Closest_Dhivehi_Pair,Overall_Closest_Dhivehi_Sim_Pct,Overall_Closest_Dhivehi_Words
SW100-036,Swadesh 100,Body Parts & Substances,hair,Isthashi,Isthashi ~ Issashi,2,0.25,75.0,Isthashi ~ Isthataa,3,0.375,62.5,,,,,,,,,Isthashi ~ Kès,7,0.875,12.5,Isthashi ~ Muṭi,7,0.875,12.5,,,,,Addu,75.0,2,Sinhala/Malayalam,12.5,7,Yes (Dialect closer),Issashi ~ Isthataa,5,0.625,37.5,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,75.0,Isthashi ~ Issashi
SW100-037,Swadesh 100,Body Parts & Substances,hand,Ai,Ai ~ Ah,1,0.5,50.0,Ai ~ Athaa,4,0.8,20.0,,,,,,,,,Ai ~ Ata,2,0.6667,33.33,Ai ~ Kai,1,0.3333,66.67,Ai ~ Yada,3,0.75,25.0,Addu,50.0,1,Malayalam,66.67,1,No (Foreign closer),Ah ~ Athaa,3,0.6,40.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,50.0,Ai ~ Ah
SW100-038,Swadesh 100,Body Parts & Substances,head,Boa,Boa ~ Boa,0,0.0,100.0,Boa ~ Bolaa,2,0.4,60.0,,,,,,,,,Boa ~ Isa,2,0.6667,33.33,Boa ~ Tala,3,0.75,25.0,Boa ~ Raˀasa,5,0.8333,16.67,Addu,100.0,0,Sinhala,33.33,2,Yes (Dialect closer),Boa ~ Bolaa,2,0.4,60.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Boa ~ Boa
SW100-039,Swadesh 100,Body Sensations & Activities,hear,Ivun,Ivun ~ Ivun,0,0.0,100.0,,,,,,,,,,,,,Ivun ~ Hènavā,6,1.0,0.0,Ivun ~ Kekkuka,6,0.8571,14.29,Ivun ~ Samiä,6,1.0,0.0,Addu,100.0,0,Malayalam,14.29,6,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Ivun ~ Ivun
SW100-040,Swadesh 100,Body Parts & Substances,heart,Hih,Hih ~ Hih,0,0.0,100.0,Hih ~ Hithaa,3,0.5,50.0,,,,,,,,,Hih ~ Hita,2,0.5,50.0,Hih ~ Hṛdayaṃ,6,0.8571,14.29,,,,,Addu,100.0,0,Sinhala,50.0,2,Yes (Dialect closer),Hih ~ Hithaa,3,0.5,50.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Hih ~ Hih
SW100-041,Swadesh 100,Body Parts & Substances,horn,Dhalhu,Dhalhu ~ Dalha,2,0.3333,66.67,Dhalhu ~ Dhalhe,1,0.1667,83.33,,,,,,,,,Dhalhu ~ A,5,0.8333,16.67,Dhalhu ~ Kòmp,6,1.0,0.0,Dhalhu ~ Qarna,5,0.8333,16.67,Huvadhu,83.33,1,Sinhala/Arabic,16.67,5,Yes (Dialect closer),Dalha ~ Dhalhe,2,0.3333,66.67,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,83.33,Dhalhu ~ Dhalhe
SW100-042,Swadesh 100,Personal Pronouns,I,Aharen/Ma/Alhugandu,Ma ~ Ma,0,0.0,100.0,Aharen ~ Aike,4,0.6667,33.33,,,,,,,,,Ma ~ Maṃ,1,0.3333,66.67,Aharen ~ Ñān,5,0.8333,16.67,Alhugandu ~ Anā,7,0.7778,22.22,Addu,100.0,0,Sinhala,66.67,1,Yes (Dialect closer),Ava ~ Aike,3,0.75,25.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Ma ~ Ma
SW100-043,Swadesh 100,Miscellaneous,kill,Merun,Merun ~ Merun,0,0.0,100.0,Merun ~ Maran,2,0.4,60.0,,,,,,,,,Merun ~ Maranavā,5,0.625,37.5,Merun ~ Kòlluka,6,0.8571,14.29,Merun ~ Qatala,6,1.0,0.0,Addu,100.0,0,Sinhala,37.5,5,Yes (Dialect closer),Merun ~ Maran,2,0.4,60.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Merun ~ Merun
SW100-044,Swadesh 100,Body Parts & Substances,knee,Kakoo,Kakoo ~ Kakoo,0,0.0,100.0,Kakoo ~ Kakelaa,4,0.5714,42.86,,,,,,,,,Kakoo ~ Dana hisa,8,0.8889,11.11,Kakoo ~ Muṭṭ,5,1.0,0.0,Kakoo ~ Rukbaha,6,0.8571,14.29,Addu,100.0,0,Arabic,14.29,6,Yes (Dialect closer),Kakoo ~ Kakelaa,4,0.5714,42.86,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Kakoo ~ Kakoo
SW100-045,Swadesh 100,Body Sensations & Activities,know,Engun,Engun ~ Engun,0,0.0,100.0,,,,,,,,,,,,,Engun ~ Dannavā,6,0.8571,14.29,Engun ~ Aṟiyuka,6,0.8571,14.29,Engun ~ Ärafa,6,1.0,0.0,Addu,100.0,0,Sinhala/Malayalam,14.29,6,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Engun ~ Engun
SW100-046,Swadesh 100,Plants & Plant Parts,leaf,Fai,Fai ~ Fah,1,0.3333,66.67,Fai ~ Fathe,3,0.6,40.0,,,,,,,,,Fai ~ Kòḻe,4,1.0,0.0,Fai ~ Ila,3,1.0,0.0,Fai ~ V̈araqaha,8,0.8889,11.11,Addu,66.67,1,Arabic,11.11,8,Yes (Dialect closer),Fah ~ Fathe,2,0.4,60.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,66.67,Fai ~ Fah
SW100-047,Swadesh 100,Position & Movement,lie,Oshoathun,Oshoathun ~ Veshiothun,4,0.4,60.0,Oshoathun ~ Vottiothun,5,0.5,50.0,,,,,,,,,Oshoathun ~ Vatirènavā,10,1.0,0.0,Oshoathun ~ Kiṭakkuka,8,0.8889,11.11,Oshoathun ~ Raqada,8,0.8889,11.11,Addu,60.0,4,Malayalam/Arabic,11.11,8,Yes (Dialect closer),Veshiothun ~ Vottiothun,3,0.3,70.0,,,,,,,,,,,,,,,,,,,,,Addu ⟷ Huvadhu,70.0,Veshiothun ~ Vottiothun
SW100-048,Swadesh 100,Body Parts & Substances,liver,Meygandu,Meygandu ~ Meiganda,2,0.25,75.0,Meygandu ~ Meiganda,2,0.25,75.0,,,,,,,,,Meygandu ~ Akmāva,8,1.0,0.0,Meygandu ~ Kara,7,0.875,12.5,Meygandu ~ Kabida,7,0.875,12.5,Addu/Huvadhu,75.0,2,Malayalam/Arabic,12.5,7,Yes (Dialect closer),Meiganda ~ Meiganda,0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,Addu ⟷ Huvadhu,100.0,Meiganda ~ Meiganda
SW100-049,Swadesh 100,Size,long,Dhigu,Dhigu ~ Dhigi,1,0.2,80.0,Dhigu ~ Dhige,1,0.2,80.0,,,,,,,,,Dhigu ~ Diga,2,0.4,60.0,Dhigu ~ Nīḻamuḻḻa,8,0.8889,11.11,Dhigu ~ T̈aav̈īla,9,1.0,0.0,Addu/Huvadhu,80.0,1,Sinhala,60.0,2,Yes (Dialect closer),Dhigi ~ Dhige,1,0.2,80.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu / Male' ⟷ Huvadhu / Addu ⟷ Huvadhu,80.0,Dhigu ~ Dhigi / Dhigu ~ Dhige / Dhigi ~ Dhige
SW100-050,Swadesh 100,Animals,louse,Ukunu,Ukunu ~ Ukunu,0,0.0,100.0,Ukunu ~ Ukuna,1,0.2,80.0,,,,,,,,,Ukunu ~ Ukuṇā,2,0.4,60.0,Ukunu ~ Pen,4,0.8,20.0,Ukunu ~ Qamla,5,1.0,0.0,Addu,100.0,0,Sinhala,60.0,2,Yes (Dialect closer),Ukunu ~ Ukuna,1,0.2,80.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Ukunu ~ Ukunu
SW100-051,Swadesh 100,Persons,man,Meehaa,Meehaa ~ Meehaa,0,0.0,100.0,Meehaa ~ Meehaa,0,0.0,100.0,,,,,,,,,Meehaa ~ Pirimiyā,8,1.0,0.0,Meehaa ~ Puruṣan,6,0.8571,14.29,Meehaa ~ Rajula,5,0.8333,16.67,Addu/Huvadhu,100.0,0,Arabic,16.67,5,Yes (Dialect closer),Meehaa ~ Meehaa,0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu / Male' ⟷ Huvadhu / Addu ⟷ Huvadhu,100.0,Meehaa ~ Meehaa / Meehaa ~ Meehaa / Meehaa ~ Meehaa
SW100-052,Swadesh 100,Quantitatives,many,Baivaru,Baivaru ~ Furei,7,1.0,0.0,Baivaru ~ Baivare,1,0.1429,85.71,,,,,,,,,Baivaru ~ Gòḍak,6,0.8571,14.29,Baivaru ~ Pala,5,0.7143,28.57,Baivaru ~ Katḧīra,6,0.75,25.0,Huvadhu,85.71,1,Malayalam,28.57,5,Yes (Dialect closer),Furei ~ Baivare,6,0.8571,14.29,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,85.71,Baivaru ~ Baivare
SW100-053,Swadesh 100,Body Parts & Substances,meat (flesh),Mas,Mas ~ Mas,0,0.0,100.0,Mas ~ Mahe,2,0.5,50.0,,,,,,,,,Mas ~ Mas,0,0.0,100.0,Mas ~ Māṃsaṃ,4,0.6667,33.33,Mas ~ Laḧma,5,0.8333,16.67,Addu,100.0,0,Sinhala,100.0,0,Equal,Mas ~ Mahe,2,0.5,50.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Mas ~ Mas
SW100-054,Swadesh 100,Natural Objects & Phenomena,moon,Handhu,Handhu ~ Handha,1,0.1667,83.33,Handhu ~ Hadha,2,0.3333,66.67,,,,,,,,,Handhu ~ Ha,4,0.6667,33.33,,,,,Handhu ~ Qamara,5,0.8333,16.67,Addu,83.33,1,Sinhala,33.33,4,Yes (Dialect closer),Handha ~ Hadha,1,0.1667,83.33,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu / Addu ⟷ Huvadhu,83.33,Handhu ~ Handha / Handha ~ Hadha
SW100-055,Swadesh 100,Natural Objects & Phenomena,mountain,Farubadha,Farubadha ~ Farabadha,1,0.1111,88.89,Farubadha ~ Farebadha,1,0.1111,88.89,,,,,,,,,Farubadha ~ Kanda,6,0.6667,33.33,Farubadha ~ Parvvataṃ,6,0.6667,33.33,Farubadha ~ Jabala,5,0.5556,44.44,Addu/Huvadhu,88.89,1,Arabic,44.44,5,Yes (Dialect closer),Farabadha ~ Farebadha,1,0.1111,88.89,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu / Male' ⟷ Huvadhu / Addu ⟷ Huvadhu,88.89,Farubadha ~ Farabadha / Farubadha ~ Farebadha / Farabadha ~ Farebadha
SW100-056,Swadesh 100,Body Parts & Substances,mouth,Anga,Anga ~ Anga,0,0.0,100.0,Anga ~ Aga,1,0.25,75.0,,,,,,,,,Anga ~ Kaṭa,3,0.75,25.0,Anga ~ Vāya,3,0.75,25.0,Anga ~ Fama,3,0.75,25.0,Addu,100.0,0,Sinhala/Malayalam/Arabic,25.0,3,Yes (Dialect closer),Anga ~ Aga,1,0.25,75.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Anga ~ Anga
SW100-057,Swadesh 100,Miscellaneous,name,Nan,,,,,Nan ~ Name,2,0.5,50.0,,,,,,,,,Nan ~ Nama,2,0.5,50.0,Nan ~ Nāmaṃ,3,0.6,40.0,Nan ~ Aisma,5,1.0,0.0,Huvadhu,50.0,2,Sinhala,50.0,2,Equal,,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,50.0,Nan ~ Name
SW100-058,Swadesh 100,Body Parts & Substances,neck,Karu,,,,,Karu ~ Karaa,2,0.4,60.0,,,,,,,,,Karu ~ Bèlla,5,1.0,0.0,Karu ~ Kal̤utt,4,0.5714,42.86,Karu ~ Raqabaha,7,0.875,12.5,Huvadhu,60.0,2,Malayalam,42.86,4,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,60.0,Karu ~ Karaa
SW100-059,Swadesh 100,Descriptives,new,Aa/Au,,,,,Aa ~ Ale,2,0.6667,33.33,,,,,,,,,Au ~ Alut,2,0.5,50.0,Aa ~ Putiya,5,0.8333,16.67,,,,,Huvadhu,33.33,2,Sinhala,50.0,2,No (Foreign closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,33.33,Aa ~ Ale
SW100-060,Swadesh 100,Time Periods,night,Reygandu,,,,,Reygandu ~ Reygadaa,3,0.375,62.5,,,,,,,,,Reygandu ~ Ra,6,0.75,25.0,Reygandu ~ Rātri,7,0.875,12.5,Reygandu ~ Laila,7,0.875,12.5,Huvadhu,62.5,3,Sinhala,25.0,6,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,62.5,Reygandu ~ Reygadaa
SW100-061,Swadesh 100,Body Parts & Substances,nose,Neyfai,,,,,Neyfai ~ Neyfathaa,4,0.4444,55.56,,,,,,,,,Neyfai ~ Nahaya,5,0.8333,16.67,Neyfai ~ Mūkk,6,1.0,0.0,Neyfai ~ Anfa,4,0.6667,33.33,Huvadhu,55.56,4,Arabic,33.33,4,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,55.56,Neyfai ~ Neyfathaa
SW100-062,Swadesh 100,Miscellaneous,not,Noon,,,,,,,,,,,,,,,,,Noon ~ Naha,3,0.75,25.0,Noon ~ Alla,4,1.0,0.0,,,,,,,,Sinhala,25.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW100-063,Swadesh 100,Numerals,one,Ekeh,,,,,Ekeh ~ Eken,1,0.25,75.0,,,,,,,,,Ekeh ~ Èka,3,0.75,25.0,Ekeh ~ Ònn,4,1.0,0.0,,,,,Huvadhu,75.0,1,Sinhala,25.0,3,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,75.0,Ekeh ~ Eken
SW100-064,Swadesh 100,Persons,person (human being),Meehaa,,,,,Meehaa ~ Meeheke,3,0.4286,57.14,,,,,,,,,Meehaa ~ Minihā,5,0.8333,16.67,,,,,Meehaa ~ Insāna,5,0.8333,16.67,Huvadhu,57.14,3,Sinhala/Arabic,16.67,5,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,57.14,Meehaa ~ Meeheke
SW100-065,Swadesh 100,Natural Objects & Phenomena,rain,Vaarey,,,,,,,,,,,,,,,,,Vaarey ~ Vassa,4,0.6667,33.33,Vaarey ~ Varṣaṃ,4,0.6667,33.33,Vaarey ~ Maẗaara,6,0.75,25.0,,,,Sinhala/Malayalam,33.33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW100-066,Swadesh 100,Colors,red,Rai,,,,,,,,,,,,,,,,,Rai ~ Ratu,2,0.5,50.0,,,,,,,,,,,,Sinhala,50.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW100-067,Swadesh 100,Miscellaneous,road (path),Magu,,,,,,,,,,,,,,,,,Magu ~ Ma,2,0.5,50.0,Magu ~ Val̤i,4,0.8,20.0,Magu ~ T̈aarīqa,7,0.875,12.5,,,,Sinhala,50.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW100-068,Swadesh 100,Plants & Plant Parts,root,Moo,,,,,Moo ~ Mule,3,0.75,25.0,,,,,,,,,Moo ~ Mula,3,0.75,25.0,Moo ~ Ver,3,1.0,0.0,,,,,Huvadhu,25.0,3,Sinhala,25.0,3,Equal,,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,25.0,Moo ~ Mule
SW100-069,Swadesh 100,Descriptives,round,Vah,,,,,Vah ~ Vate,2,0.5,50.0,,,,,,,,,Vah ~ Vaṭaya,4,0.6667,33.33,Vah ~ Vaṭṭaṃ,4,0.6667,33.33,Vah ~ Mustadīra,8,0.8889,11.11,Huvadhu,50.0,2,Sinhala/Malayalam,33.33,4,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,50.0,Vah ~ Vate
SW100-070,Swadesh 100,Natural Objects & Phenomena,sand,Veli,,,,,,,,,,,,,,,,,Veli ~ Vali,1,0.25,75.0,Veli ~ Maṇṇ,4,1.0,0.0,Veli ~ Ramla,4,0.8,20.0,,,,Sinhala,75.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW100-071,Swadesh 100,Oral Activities,say,Bunun,,,,,Bunun ~ Bona,3,0.6,40.0,,,,,,,,,Bunun ~ Kiyanavā,7,0.875,12.5,Bunun ~ Paṟayuka,7,0.875,12.5,Bunun ~ Qāla,5,1.0,0.0,Huvadhu,40.0,3,Sinhala/Malayalam,12.5,7,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,40.0,Bunun ~ Bona
SW100-072,Swadesh 100,Body Sensations & Activities,see,Belun,,,,,,,,,,,,,,,,,Belun ~ Dakinavā,7,0.875,12.5,Belun ~ Kāṇuka,5,0.8333,16.67,Belun ~ Raā,5,1.0,0.0,,,,Malayalam,16.67,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW100-073,Swadesh 100,Plants & Plant Parts,seed,Oh,,,,,Oh ~ Ote,2,0.6667,33.33,,,,,,,,,Oh ~ Bīja,4,1.0,0.0,Oh ~ Vitt,4,1.0,0.0,,,,,Huvadhu,33.33,2,Sinhala/Malayalam,0.0,4,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,33.33,Oh ~ Ote
SW100-074,Swadesh 100,Position & Movement,sit,Isheenun,,,,,,,,,,,,,,,,,Isheenun ~ Igannavā,7,0.875,12.5,Isheenun ~ Irikkuka,7,0.875,12.5,Isheenun ~ Jalasa,8,1.0,0.0,,,,Sinhala/Malayalam,12.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW100-075,Swadesh 100,Body Parts & Substances,skin,Han,,,,,Han ~ Hame,2,0.5,50.0,,,,,,,,,Han ~ Ham,1,0.3333,66.67,Han ~ Tòli,4,1.0,0.0,Han ~ Jilda,5,1.0,0.0,Huvadhu,50.0,2,Sinhala,66.67,1,No (Foreign closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,50.0,Han ~ Hame
SW100-076,Swadesh 100,Body Sensations & Activities,sleep,Nidhun,,,,,,,,,,,,,,,,,Nidhun ~ Nidāgannavā,7,0.6364,36.36,Nidhun ~ Uṟaṅṅuka,7,0.875,12.5,Nidhun ~ Nāma,5,0.8333,16.67,,,,Sinhala,36.36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW100-077,Swadesh 100,Size,small,Kuda,,,,,Kuda ~ Kudhe,2,0.4,60.0,,,,,,,,,Kuda ~ Kuḍā,2,0.5,50.0,Kuda ~ Cèṟiya,5,0.8333,16.67,Kuda ~ S̈aġīra,6,0.8571,14.29,Huvadhu,60.0,2,Sinhala,50.0,2,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,60.0,Kuda ~ Kudhe
SW100-078,Swadesh 100,Natural Objects & Phenomena,smoke,Dhun,,,,,Dhun ~ Dhume,2,0.4,60.0,,,,,,,,,Dhun ~ Duma,3,0.75,25.0,Dhun ~ Puka,4,1.0,0.0,,,,,Huvadhu,60.0,2,Sinhala,25.0,3,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,60.0,Dhun ~ Dhume
SW100-079,Swadesh 100,Position & Movement,stand,Kolhahurun,,,,,Kolhahurun ~ Kodanhuttun,5,0.4545,54.55,,,,,,,,,Kolhahurun ~ Hiṭagannavā,10,0.9091,9.09,Kolhahurun ~ Nilkkuka,8,0.8,20.0,Kolhahurun ~ V̈aqafa,9,0.9,10.0,Huvadhu,54.55,5,Malayalam,20.0,8,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,54.55,Kolhahurun ~ Kodanhuttun
SW100-080,Swadesh 100,Natural Objects & Phenomena,star,Thari,,,,,Thari ~ Tharraa,3,0.4286,57.14,,,,,,,,,Thari ~ Taru,2,0.4,60.0,Thari ~ Nakṣatraṃ,7,0.7778,22.22,,,,,Huvadhu,57.14,3,Sinhala,60.0,2,No (Foreign closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,57.14,Thari ~ Tharraa
SW100-081,Swadesh 100,Natural Objects & Phenomena,stone,Gaa,,,,,Gaa ~ Gale,2,0.5,50.0,,,,,,,,,Gaa ~ Gala,1,0.25,75.0,Gaa ~ Kall,3,0.75,25.0,Gaa ~ Ḧajara,5,0.7143,28.57,Huvadhu,50.0,2,Sinhala,75.0,1,No (Foreign closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,50.0,Gaa ~ Gale
SW100-082,Swadesh 100,Natural Objects & Phenomena,sun,Iru,,,,,Iru ~ Ire,1,0.3333,66.67,,,,,,,,,Iru ~ Iru,0,0.0,100.0,,,,,Iru ~ Śamsa,5,1.0,0.0,Huvadhu,66.67,1,Sinhala,100.0,0,No (Foreign closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,66.67,Iru ~ Ire
SW100-083,Swadesh 100,Position & Movement,swim,Fethun,,,,,,,,,,,,,,,,,Fethun ~ Pīnanavā,8,1.0,0.0,Fethun ~ Nīntuka,6,0.8571,14.29,,,,,,,,Malayalam,14.29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW100-084,Swadesh 100,Body Parts & Substances,tail,Nagoo/Nigoo,,,,,Nagoo ~ Nagilaa,4,0.5714,42.86,,,,,,,,,Nagoo ~ Valigaya,6,0.75,25.0,Nagoo ~ Vāl,5,1.0,0.0,Nagoo ~ Dḧanaba,7,0.875,12.5,Huvadhu,42.86,4,Sinhala,25.0,6,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,42.86,Nagoo ~ Nagilaa
SW100-085,Swadesh 100,Location & Deixis,that,E,,,,,,,,,,,,,,,,,E ~ E,0,0.0,100.0,E ~ At,2,1.0,0.0,,,,,,,,Sinhala,100.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW100-086,Swadesh 100,Location & Deixis,this,Mi,,,,,Mi ~ Mi,0,0.0,100.0,,,,,,,,,Mi ~ Me,1,0.5,50.0,Mi ~ It,2,1.0,0.0,,,,,Huvadhu,100.0,0,Sinhala,50.0,1,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,100.0,Mi ~ Mi
SW100-087,Swadesh 100,Personal Pronouns,thou,Kaley/Kalaa/Thibeyfulhaa,,,,,Thibeyfulhaa ~ Thoa,9,0.75,25.0,,,,,,,,,Kaley ~ Òhe,4,0.8,20.0,Kaley ~ Nī,5,1.0,0.0,,,,,Huvadhu,25.0,9,Sinhala,20.0,4,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,25.0,Thibeyfulhaa ~ Thoa
SW100-088,Swadesh 100,Body Parts & Substances,tongue,Dhoo,,,,,Dhoo ~ Dheythella,8,0.8,20.0,,,,,,,,,Dhoo ~ Diva,3,0.75,25.0,Dhoo ~ Nākk,4,1.0,0.0,Dhoo ~ Lisāna,6,1.0,0.0,Huvadhu,20.0,8,Sinhala,25.0,3,No (Foreign closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,20.0,Dhoo ~ Dheythella
SW100-089,Swadesh 100,Body Parts & Substances,tooth,Dhai,,,,,Dhai ~ Dhathe,3,0.5,50.0,,,,,,,,,Dhai ~ Data,3,0.75,25.0,Dhai ~ Pall,4,1.0,0.0,Dhai ~ Sinna,5,1.0,0.0,Huvadhu,50.0,3,Sinhala,25.0,3,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,50.0,Dhai ~ Dhathe
SW100-090,Swadesh 100,Plants & Plant Parts,tree,Gas,,,,,Gas ~ Gahe,2,0.5,50.0,,,,,,,,,Gas ~ Gasa,1,0.25,75.0,Gas ~ Maraṃ,4,0.8,20.0,Gas ~ Śajaraha,7,0.875,12.5,Huvadhu,50.0,2,Sinhala,75.0,1,No (Foreign closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,50.0,Gas ~ Gahe
SW100-091,Swadesh 100,Numerals,two,Dheh,,,,,Dheh ~ Dheyn,2,0.4,60.0,,,,,,,,,Dheh ~ Dèka,3,0.75,25.0,Dheh ~ Raṇṭ,4,1.0,0.0,,,,,Huvadhu,60.0,2,Sinhala,25.0,3,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Huvadhu,60.0,Dheh ~ Dheyn
