Dialect / Language,Male',Addu,Huvadhu,Fuvahmulah,Maliku,Sinhala,Malayalam,Arabic
Male',0.00 (100.0%) [n=-],0.2169 (78.3%) [n=99],0.4018 (59.8%) [n=79],0.2700 (73.0%) [n=99],N/A,0.7006 (29.9%) [n=97],0.8489 (15.1%) [n=90],0.8659 (13.4%) [n=72]
Addu,0.2169 (78.3%) [n=99],0.00 (100.0%) [n=-],0.3851 (61.5%) [n=79],0.2267 (77.3%) [n=99],N/A,0.7062 (29.4%) [n=97],0.8524 (14.8%) [n=90],0.8582 (14.2%) [n=72]
Huvadhu,0.4018 (59.8%) [n=79],0.3851 (61.5%) [n=79],0.00 (100.0%) [n=-],0.3511 (64.9%) [n=79],N/A,0.6777 (32.2%) [n=77],0.8456 (15.4%) [n=70],0.8028 (19.7%) [n=54]
Fuvahmulah,0.2700 (73.0%) [n=99],0.2267 (77.3%) [n=99],0.3511 (64.9%) [n=79],0.00 (100.0%) [n=-],N/A,0.7211 (27.9%) [n=97],0.8522 (14.8%) [n=90],0.8779 (12.2%) [n=72]
Maliku,N/A,N/A,N/A,N/A,0.00 (100.0%) [n=-],N/A,N/A,N/A
Sinhala,0.7006 (29.9%) [n=97],0.7062 (29.4%) [n=97],0.6777 (32.2%) [n=77],0.7211 (27.9%) [n=97],N/A,0.00 (100.0%) [n=-],N/A,N/A
Malayalam,0.8489 (15.1%) [n=90],0.8524 (14.8%) [n=90],0.8456 (15.4%) [n=70],0.8522 (14.8%) [n=90],N/A,N/A,0.00 (100.0%) [n=-],N/A
Arabic,0.8659 (13.4%) [n=72],0.8582 (14.2%) [n=72],0.8028 (19.7%) [n=54],0.8779 (12.2%) [n=72],N/A,N/A,N/A,0.00 (100.0%) [n=-]
