ID,Word List,Category,English,Entity_A,Entity_B,Word_A,Word_B,Raw_Distance,Normalized_Distance,Similarity_Pct,Is_Dhivehi_Pair
SW100-006,Swadesh 100,Animals,bird,Huvadhu,Malayalam,Dhoonna,Kiḻi,7,1.0,0.0,No
SW100-007,Swadesh 100,Body Sensations & Activities,bite,Male',Addu,Dhaielhun,Dheyvun,4,0.4444,55.56,Yes
SW100-007,Swadesh 100,Body Sensations & Activities,bite,Male',Sinhala,Dhaigathun,Hapanavā,7,0.7,30.0,No
SW100-007,Swadesh 100,Body Sensations & Activities,bite,Male',Malayalam,Dhaielhun,Kaṭikkuka,8,0.8889,11.11,No
SW100-007,Swadesh 100,Body Sensations & Activities,bite,Male',Arabic,Dhaielhun,Äd̈d̈a,8,0.8889,11.11,No
SW100-007,Swadesh 100,Body Sensations & Activities,bite,Addu,Sinhala,Dheyvun,Hapanavā,8,1.0,0.0,No
SW100-007,Swadesh 100,Body Sensations & Activities,bite,Addu,Malayalam,Dheyvun,Kaṭikkuka,8,0.8889,11.11,No
SW100-007,Swadesh 100,Body Sensations & Activities,bite,Addu,Arabic,Dheyvun,Äd̈d̈a,7,1.0,0.0,No
SW100-008,Swadesh 100,Colors,black,Male',Addu,Kalhu,Kalha,1,0.2,80.0,Yes
SW100-008,Swadesh 100,Colors,black,Male',Huvadhu,Kalhu,Kalhe,1,0.2,80.0,Yes
SW100-008,Swadesh 100,Colors,black,Male',Sinhala,Kalhu,Kaḻu,2,0.4,60.0,No
SW100-008,Swadesh 100,Colors,black,Male',Malayalam,Kalhu,Kaṟupp,4,0.6667,33.33,No
SW100-008,Swadesh 100,Colors,black,Addu,Huvadhu,Kalha,Kalhe,1,0.2,80.0,Yes
SW100-008,Swadesh 100,Colors,black,Addu,Sinhala,Kalha,Kaḻu,3,0.6,40.0,No
SW100-008,Swadesh 100,Colors,black,Addu,Malayalam,Kalha,Kaṟupp,4,0.6667,33.33,No
SW100-008,Swadesh 100,Colors,black,Huvadhu,Sinhala,Kalhe,Kaḻu,3,0.6,40.0,No
SW100-008,Swadesh 100,Colors,black,Huvadhu,Malayalam,Kalhe,Kaṟupp,4,0.6667,33.33,No
SW100-009,Swadesh 100,Body Parts & Substances,blood,Male',Addu,Ley,Lei,1,0.3333,66.67,Yes
SW100-009,Swadesh 100,Body Parts & Substances,blood,Male',Sinhala,Ley,Le,1,0.3333,66.67,No
SW100-009,Swadesh 100,Body Parts & Substances,blood,Male',Malayalam,Ley,Cora,4,1.0,0.0,No
SW100-009,Swadesh 100,Body Parts & Substances,blood,Male',Arabic,Ley,Dama,4,1.0,0.0,No
SW100-009,Swadesh 100,Body Parts & Substances,blood,Addu,Sinhala,Lei,Le,1,0.3333,66.67,No
SW100-009,Swadesh 100,Body Parts & Substances,blood,Addu,Malayalam,Lei,Kuruti,5,0.8333,16.67,No
SW100-009,Swadesh 100,Body Parts & Substances,blood,Addu,Arabic,Lei,Dama,4,1.0,0.0,No
SW100-010,Swadesh 100,Body Parts & Substances,bone,Male',Addu,Kashi,Kashi,0,0.0,100.0,Yes
SW100-010,Swadesh 100,Body Parts & Substances,bone,Male',Huvadhu,Kashi,Kantaa,4,0.6667,33.33,Yes
SW100-010,Swadesh 100,Body Parts & Substances,bone,Male',Sinhala,Kashi,Kaṭu,3,0.6,40.0,No
SW100-010,Swadesh 100,Body Parts & Substances,bone,Male',Malayalam,Kashi,Asthi,2,0.4,60.0,No
SW100-010,Swadesh 100,Body Parts & Substances,bone,Male',Arabic,Kashi,Äjḧma,6,0.8571,14.29,No
SW100-010,Swadesh 100,Body Parts & Substances,bone,Addu,Huvadhu,Kashi,Kantaa,4,0.6667,33.33,Yes
SW100-010,Swadesh 100,Body Parts & Substances,bone,Addu,Sinhala,Kashi,Kaṭu,3,0.6,40.0,No
SW100-010,Swadesh 100,Body Parts & Substances,bone,Addu,Malayalam,Kashi,Asthi,2,0.4,60.0,No
